id,date,merchant,amount,currency,type
demo-001,2026-07-02,Swiggy,540,INR,DEBIT
demo-002,2026-07-03,Uber,320,INR,DEBIT
demo-003,2026-07-04,DMart,2450,INR,DEBIT
demo-004,2026-07-05,Netflix,649,INR,DEBIT
demo-005,2026-07-06,Apollo Pharmacy,780,INR,DEBIT
demo-006,2026-07-07,Myntra,1899,INR,DEBIT
demo-007,2026-07-08,Airtel,799,INR,DEBIT
demo-008,2026-07-09,Dominos,850,INR,DEBIT
demo-009,2026-07-10,Udemy,999,INR,DEBIT
demo-010,2026-07-11,Ola,275,INR,DEBIT
demo-011,2026-07-12,Amazon,2199,INR,DEBIT
demo-012,2026-07-15,Swiggy,680,INR,DEBIT
demo-013,2026-07-16,Jio,599,INR,DEBIT
demo-014,2026-07-17,Zomato,720,INR,DEBIT
demo-015,2026-07-20,Salary,45000,INR,CREDIT
